region,date,seed,policy,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse
china,2026-04-08,42,router,1,30,15,10000,1,0388.HK,eval,5,T3,baseline,2.042,2.041,0.001,-0.121,0.123,0.4958
china,2026-04-08,42,router,1,30,15,10000,1,0388.HK,eval,14,T3,baseline,2.842,2.819,0.021,-0.15,0.212,0.4213
china,2026-04-08,42,router,1,30,15,10000,1,0388.HK,eval,30,T3,baseline,3.399,3.285,0.118,-0.179,0.407,0.2163
china,2026-04-08,42,router,1,30,15,10000,1,0388.HK,eval,60,T3,baseline,5.359,5.742,-0.383,-0.933,0.165,0.9135
china,2026-04-08,42,router,1,30,15,10000,1,0388.HK,eval,120,T3,baseline,4.681,5.176,-0.494,-1.059,0.064,0.9599
china,2026-04-08,42,router,1,30,15,10000,1,2382.HK,eval,5,T2,baseline,3.881,4.292,-0.412,-0.743,-0.077,0.9927
china,2026-04-08,42,router,1,30,15,10000,1,2382.HK,eval,14,T2,baseline,6.872,7.532,-0.661,-1.119,-0.256,0.9999
china,2026-04-08,42,router,1,30,15,10000,1,2382.HK,eval,30,T3,baseline,10.778,11.035,-0.257,-1.177,0.55,0.7065
china,2026-04-08,42,router,1,30,15,10000,1,2382.HK,eval,60,T1,finetuned,19.173,15.431,3.745,2.243,5.285,0.0
china,2026-04-08,42,router,1,30,15,10000,1,2382.HK,eval,120,T1,finetuned,30.216,21.954,8.239,5.421,11.071,0.0
china,2026-04-08,42,router,1,30,15,10000,1,1177.HK,eval,5,T3,baseline,4.087,3.681,0.415,-0.311,1.14,0.1365
china,2026-04-08,42,router,1,30,15,10000,1,1177.HK,eval,14,T1,finetuned,6.424,5.307,1.115,0.577,1.66,0.0
china,2026-04-08,42,router,1,30,15,10000,1,1177.HK,eval,30,T1,finetuned,11.296,9.213,2.087,1.636,2.585,0.0
china,2026-04-08,42,router,1,30,15,10000,1,1177.HK,eval,60,T1,finetuned,15.383,13.045,2.341,1.565,3.186,0.0
china,2026-04-08,42,router,1,30,15,10000,1,1177.HK,eval,120,T1,finetuned,20.929,17.758,3.166,1.807,4.768,0.0
china,2026-04-08,42,router,1,30,15,10000,1,0700.HK,train,5,T3,baseline,2.273,2.379,-0.106,-0.35,0.141,0.7994
china,2026-04-08,42,router,1,30,15,10000,1,0700.HK,train,14,T3,baseline,4.04,3.73,0.314,-0.307,0.966,0.1717
china,2026-04-08,42,router,1,30,15,10000,1,0700.HK,train,30,T3,baseline,3.806,3.984,-0.176,-1.101,0.78,0.6482
china,2026-04-08,42,router,1,30,15,10000,1,0700.HK,train,60,T3,baseline,4.904,4.784,0.126,-1.881,2.204,0.4594
china,2026-04-08,42,router,1,30,15,10000,1,0700.HK,train,120,T1,finetuned,9.626,6.402,3.225,0.916,5.527,0.0025
china,2026-04-08,42,router,1,30,15,10000,1,0941.HK,train,5,T3,baseline,0.897,0.916,-0.018,-0.139,0.113,0.62
china,2026-04-08,42,router,1,30,15,10000,1,0941.HK,train,14,T3,baseline,1.318,1.326,-0.008,-0.124,0.12,0.5603
china,2026-04-08,42,router,1,30,15,10000,1,0941.HK,train,30,T3,baseline,1.692,1.864,-0.172,-0.412,0.078,0.9127
china,2026-04-08,42,router,1,30,15,10000,1,0941.HK,train,60,T3,baseline,1.775,2.011,-0.235,-0.481,0.043,0.9531
china,2026-04-08,42,router,1,30,15,10000,1,0941.HK,train,120,T1,finetuned,6.001,3.663,2.335,1.934,2.765,0.0
china,2026-04-08,42,router,1,30,15,10000,1,2318.HK,train,5,T3,baseline,1.805,1.96,-0.153,-0.354,0.064,0.921
china,2026-04-08,42,router,1,30,15,10000,1,2318.HK,train,14,T3,baseline,2.54,2.455,0.086,-0.167,0.328,0.2446
china,2026-04-08,42,router,1,30,15,10000,1,2318.HK,train,30,T1,finetuned,4.316,3.264,1.053,0.649,1.436,0.0
china,2026-04-08,42,router,1,30,15,10000,1,2318.HK,train,60,T1,finetuned,7.328,4.25,3.077,2.137,3.951,0.0
china,2026-04-08,42,router,1,30,15,10000,1,2318.HK,train,120,T1,finetuned,14.166,8.912,5.251,3.838,6.546,0.0
china,2026-04-08,42,router,1,30,15,10000,1,1299.HK,train,5,T3,baseline,2.287,2.281,0.005,-0.14,0.171,0.4897
china,2026-04-08,42,router,1,30,15,10000,1,1299.HK,train,14,T3,baseline,2.891,2.974,-0.082,-0.248,0.082,0.8379
china,2026-04-08,42,router,1,30,15,10000,1,1299.HK,train,30,T1,finetuned,4.794,4.409,0.385,0.183,0.614,0.0
china,2026-04-08,42,router,1,30,15,10000,1,1299.HK,train,60,T1,finetuned,8.421,7.103,1.319,0.912,1.758,0.0
china,2026-04-08,42,router,1,30,15,10000,1,1299.HK,train,120,T1,finetuned,13.395,11.189,2.204,1.574,2.86,0.0
china,2026-04-08,42,router,1,30,15,10000,1,0005.HK,train,5,T3,baseline,2.359,2.363,-0.004,-0.156,0.134,0.5071
china,2026-04-08,42,router,1,30,15,10000,1,0005.HK,train,14,T3,baseline,4.384,4.295,0.089,-0.115,0.269,0.1805
china,2026-04-08,42,router,1,30,15,10000,1,0005.HK,train,30,T1,finetuned,4.324,3.708,0.618,0.429,0.793,0.0
china,2026-04-08,42,router,1,30,15,10000,1,0005.HK,train,60,T3,baseline,3.792,3.71,0.082,-0.126,0.284,0.2162
china,2026-04-08,42,router,1,30,15,10000,1,0005.HK,train,120,T2,baseline,6.357,9.608,-3.249,-3.586,-2.943,1.0
china,2026-04-08,42,router,1,30,15,10000,1,0001.HK,train,5,T3,baseline,1.538,1.485,0.054,-0.094,0.235,0.2819
china,2026-04-08,42,router,1,30,15,10000,1,0001.HK,train,14,T3,baseline,1.572,1.642,-0.07,-0.278,0.179,0.7317
china,2026-04-08,42,router,1,30,15,10000,1,0001.HK,train,30,T3,baseline,2.166,2.266,-0.1,-0.301,0.135,0.8152
china,2026-04-08,42,router,1,30,15,10000,1,0001.HK,train,60,T3,baseline,4.756,4.632,0.125,-0.011,0.244,0.0348
china,2026-04-08,42,router,1,30,15,10000,1,0001.HK,train,120,T2,baseline,11.06,11.427,-0.365,-0.592,-0.161,0.9998
