region,date,seed,policy,tier_metric,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse,bl_pnl_pct,ft_pnl_pct,pnl_edge_pct,pnl_ci_lo,pnl_ci_hi,bl_lsf_pct,ft_lsf_pct,lsf_edge_pct,lsf_ci_lo,lsf_ci_hi
china,2026-04-11,42,router,pnl,1,30,15,10000,1,0388.HK,eval,5,T3,baseline,2.313,2.35,-0.036,-0.146,0.073,0.744,-0.284,0.184,0.477,-0.918,1.655,0.714,1.65,0.935,-1.835,3.31
china,2026-04-11,42,router,pnl,1,30,15,10000,1,0388.HK,eval,14,T3,baseline,3.1,3.233,-0.133,-0.252,-0.013,0.986,-1.201,-1.783,-0.587,-2.198,0.958,1.25,0.086,-1.163,-4.396,1.915
china,2026-04-11,42,router,pnl,1,30,15,10000,1,0388.HK,eval,30,T2,baseline,3.407,3.571,-0.161,-0.428,0.089,0.8857,-0.731,-2.98,-2.22,-4.285,-0.24,2.621,-1.877,-4.498,-8.569,-0.479
china,2026-04-11,42,router,pnl,1,30,15,10000,1,0388.HK,eval,60,T2,baseline,5.35,6.18,-0.83,-1.312,-0.336,0.9997,0.0,-5.261,-5.266,-6.826,-3.652,7.155,-3.368,-10.522,-13.653,-7.305
china,2026-04-11,42,router,pnl,1,30,15,10000,1,0388.HK,eval,120,T3,baseline,4.595,5.566,-0.973,-1.499,-0.442,0.9999,0.0,0.0,0.0,0.0,0.0,9.19,9.19,0.0,0.0,0.0
china,2026-04-11,42,router,pnl,1,30,15,10000,1,2382.HK,eval,5,T3,baseline,4.643,5.024,-0.381,-0.716,-0.047,0.9878,-1.0,-1.637,-0.638,-3.872,2.494,0.015,-1.259,-1.274,-7.745,4.988
china,2026-04-11,42,router,pnl,1,30,15,10000,1,2382.HK,eval,14,T3,baseline,7.302,7.582,-0.278,-0.727,0.168,0.8922,-2.189,-2.849,-0.641,-4.453,3.109,4.158,2.838,-1.32,-8.907,6.218
china,2026-04-11,42,router,pnl,1,30,15,10000,1,2382.HK,eval,30,T3,baseline,12.657,12.388,0.272,-0.399,0.915,0.2098,-1.904,-1.823,0.106,-5.47,5.711,17.95,18.111,0.161,-10.939,11.422
china,2026-04-11,42,router,pnl,1,30,15,10000,1,2382.HK,eval,60,T3,baseline,20.875,17.545,3.322,1.975,4.73,0.0,-3.262,0.0,3.242,0.0,8.139,17.749,24.272,6.523,0.0,16.277
china,2026-04-11,42,router,pnl,1,30,15,10000,1,2382.HK,eval,120,T3,baseline,32.063,25.002,7.053,4.619,9.663,0.0,-1.945,0.0,1.967,0.0,5.836,31.107,34.997,3.891,0.0,11.672
