region,date,seed,policy,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse
europe,2026-04-09,42,simple,1,30,15,10000,1,UL,eval,5,T3,baseline,1.393,1.497,-0.104,-0.359,0.161,0.78
europe,2026-04-09,42,simple,1,30,15,10000,1,UL,eval,14,T3,baseline,2.258,2.389,-0.131,-0.403,0.137,0.8282
europe,2026-04-09,42,simple,1,30,15,10000,1,UL,eval,30,T2,baseline,1.944,2.529,-0.589,-0.925,-0.256,0.9999
europe,2026-04-09,42,simple,1,30,15,10000,1,UL,eval,60,T3,baseline,2.613,2.731,-0.118,-0.3,0.079,0.8858
europe,2026-04-09,42,simple,1,30,15,10000,1,UL,eval,120,T3,baseline,4.108,4.026,0.082,-0.07,0.252,0.1595
europe,2026-04-09,42,simple,1,30,15,10000,1,EADSF,eval,5,T2,baseline,1.625,1.762,-0.136,-0.248,-0.021,0.9892
europe,2026-04-09,42,simple,1,30,15,10000,1,EADSF,eval,14,T3,baseline,2.091,2.181,-0.091,-0.272,0.107,0.8235
europe,2026-04-09,42,simple,1,30,15,10000,1,EADSF,eval,30,T3,baseline,2.87,3.119,-0.247,-0.489,0.015,0.9684
europe,2026-04-09,42,simple,1,30,15,10000,1,EADSF,eval,60,T3,baseline,2.945,2.841,0.105,-0.113,0.357,0.1935
europe,2026-04-09,42,simple,1,30,15,10000,1,EADSF,eval,120,T1,finetuned,7.107,6.043,1.062,0.628,1.5,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,VWAGY,eval,5,T3,baseline,1.424,1.439,-0.016,-0.247,0.197,0.5485
europe,2026-04-09,42,simple,1,30,15,10000,1,VWAGY,eval,14,T1,finetuned,2.276,1.861,0.415,0.152,0.685,0.0011
europe,2026-04-09,42,simple,1,30,15,10000,1,VWAGY,eval,30,T1,finetuned,3.108,2.594,0.516,0.337,0.72,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,VWAGY,eval,60,T2,baseline,6.098,7.096,-0.997,-1.324,-0.683,1.0
europe,2026-04-09,42,simple,1,30,15,10000,1,VWAGY,eval,120,T2,baseline,7.087,9.744,-2.661,-3.539,-1.777,1.0
europe,2026-04-09,42,simple,1,30,15,10000,1,ASML,train,5,T3,baseline,3.819,4.355,-0.534,-1.077,0.062,0.9603
europe,2026-04-09,42,simple,1,30,15,10000,1,ASML,train,14,T2,baseline,4.271,5.074,-0.803,-1.234,-0.368,0.9999
europe,2026-04-09,42,simple,1,30,15,10000,1,ASML,train,30,T2,baseline,5.668,6.618,-0.95,-1.623,-0.327,0.9995
europe,2026-04-09,42,simple,1,30,15,10000,1,ASML,train,60,T3,baseline,9.484,9.339,0.137,-1.065,1.255,0.395
europe,2026-04-09,42,simple,1,30,15,10000,1,ASML,train,120,T1,finetuned,22.869,21.325,1.542,0.284,2.788,0.0092
europe,2026-04-09,42,simple,1,30,15,10000,1,SAP,train,5,T3,baseline,1.536,1.597,-0.061,-0.245,0.123,0.7418
europe,2026-04-09,42,simple,1,30,15,10000,1,SAP,train,14,T3,baseline,1.818,1.995,-0.181,-0.566,0.189,0.8281
europe,2026-04-09,42,simple,1,30,15,10000,1,SAP,train,30,T1,finetuned,5.477,4.317,1.159,0.617,1.692,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,SAP,train,60,T1,finetuned,12.216,7.746,4.476,4.055,4.909,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,SAP,train,120,T1,finetuned,29.333,20.354,8.977,8.077,9.96,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,NVO,train,5,T1,finetuned,4.888,3.336,1.553,0.485,2.692,0.0016
europe,2026-04-09,42,simple,1,30,15,10000,1,NVO,train,14,T1,finetuned,11.508,7.893,3.627,1.582,6.007,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,NVO,train,30,T1,finetuned,24.452,16.038,8.445,4.484,12.625,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,NVO,train,60,T1,finetuned,32.032,21.855,10.187,5.573,14.912,0.0
europe,2026-04-09,42,simple,1,30,15,10000,1,NVO,train,120,T3,baseline,27.876,29.314,-1.443,-4.342,1.521,0.8275
europe,2026-04-09,42,simple,1,30,15,10000,1,AZN,train,5,T3,baseline,3.318,3.466,-0.148,-0.325,0.027,0.9511
europe,2026-04-09,42,simple,1,30,15,10000,1,AZN,train,14,T2,baseline,4.404,5.13,-0.724,-0.977,-0.462,1.0
europe,2026-04-09,42,simple,1,30,15,10000,1,AZN,train,30,T3,baseline,6.143,6.09,0.053,-0.327,0.428,0.3901
