region,date,seed,policy,tier_metric,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse,bl_pnl_pct,ft_pnl_pct,pnl_edge_pct,pnl_ci_lo,pnl_ci_hi,bl_lsf_pct,ft_lsf_pct,lsf_edge_pct,lsf_ci_lo,lsf_ci_hi
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,UL,eval,5,T3,baseline,1.465,1.482,-0.017,-0.259,0.222,0.5507,1.988,1.944,-0.044,-0.113,0.0,2.032,1.944,-0.088,-0.226,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,UL,eval,14,T3,baseline,2.291,2.395,-0.104,-0.37,0.159,0.7721,3.768,3.46,-0.301,-0.924,0.0,3.768,3.152,-0.616,-1.849,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,UL,eval,30,T2,baseline,1.931,2.423,-0.495,-0.84,-0.179,0.9994,1.907,0.998,-0.912,-1.783,-0.194,2.021,0.203,-1.818,-3.566,-0.388
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,UL,eval,60,T3,baseline,2.699,2.797,-0.098,-0.267,0.087,0.8589,-0.504,-0.504,0.0,0.0,0.0,1.512,1.512,0.0,0.0,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,UL,eval,120,T3,baseline,4.287,4.219,0.068,-0.082,0.237,0.2087,-2.594,-4.214,-1.595,-4.571,1.036,6.066,2.827,-3.24,-9.143,2.072
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,EADSF,eval,5,T3,baseline,1.519,1.636,-0.115,-0.364,0.129,0.8254,0.447,0.256,-0.19,-0.552,0.0,0.197,-0.185,-0.382,-1.103,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,EADSF,eval,14,T3,baseline,2.046,1.954,0.09,-0.133,0.366,0.2518,0.609,1.245,0.62,-0.912,2.127,-1.721,-0.451,1.271,-1.823,4.255
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,EADSF,eval,30,T3,baseline,2.608,2.701,-0.092,-0.381,0.205,0.7281,0.561,-0.143,-0.704,-1.616,0.04,0.215,-1.192,-1.407,-3.233,0.08
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,EADSF,eval,60,T3,baseline,2.9,2.763,0.138,-0.074,0.374,0.1152,2.212,1.998,-0.21,-1.456,0.93,2.212,1.785,-0.428,-2.913,1.86
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,EADSF,eval,120,T1,finetuned,7.597,6.433,1.158,0.753,1.569,0.0,-18.642,-10.468,8.113,2.969,13.493,-18.642,-2.294,16.347,5.938,26.985
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,VWAGY,eval,5,T3,baseline,1.506,1.471,0.035,-0.152,0.212,0.3465,-0.884,-0.017,0.87,-0.017,1.862,-0.659,1.075,1.733,-0.033,3.724
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,VWAGY,eval,14,T3,baseline,2.164,1.811,0.354,0.086,0.631,0.0036,-1.708,-0.805,0.909,-0.243,2.213,-1.649,0.156,1.806,-0.486,4.426
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,VWAGY,eval,30,T2,baseline,3.179,2.87,0.308,0.091,0.515,0.0038,2.942,0.804,-2.141,-3.435,-0.942,1.723,-2.554,-4.276,-6.871,-1.883
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,VWAGY,eval,60,T2,baseline,6.616,7.807,-1.192,-1.563,-0.828,1.0,8.273,0.0,-8.272,-11.213,-5.166,4.097,-12.45,-16.547,-22.426,-10.331
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,VWAGY,eval,120,T1,finetuned,7.354,10.763,-3.415,-4.36,-2.459,1.0,-2.501,0.0,2.507,0.66,4.44,-0.463,4.539,5.002,1.321,8.88
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,ASML,train,5,T2,baseline,3.692,4.142,-0.446,-0.981,0.14,0.9349,2.608,0.0,-2.592,-4.699,-0.491,3.53,-1.685,-5.215,-9.399,-0.981
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,ASML,train,14,T3,baseline,4.195,5.059,-0.865,-1.298,-0.418,0.9997,1.098,0.0,-1.107,-2.775,0.0,-3.106,-5.301,-2.195,-5.55,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,ASML,train,30,T3,baseline,5.031,6.267,-1.235,-1.831,-0.671,1.0,0.181,0.471,0.291,-0.444,1.38,-2.234,-1.654,0.58,-0.888,2.76
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,ASML,train,60,T3,baseline,9.113,9.454,-0.342,-1.404,0.71,0.7352,0.0,0.0,0.0,0.0,0.0,-16.803,-16.803,0.0,0.0,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,ASML,train,120,T3,baseline,22.63,21.56,1.076,-0.059,2.233,0.0332,0.0,2.591,2.628,0.0,7.773,-36.98,-31.798,5.182,0.0,15.546
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SAP,train,5,T3,baseline,1.506,1.586,-0.08,-0.269,0.111,0.7963,1.233,1.233,0.0,0.0,0.0,1.233,1.233,0.0,0.0,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SAP,train,14,T3,baseline,2.084,1.873,0.205,-0.224,0.656,0.1799,-0.588,-0.402,0.18,-1.343,1.76,-0.588,-0.215,0.373,-2.685,3.519
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SAP,train,30,T1,finetuned,6.448,4.713,1.733,1.11,2.38,0.0,-9.924,-5.611,4.326,2.035,7.003,-9.924,-1.298,8.626,4.07,14.007
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SAP,train,60,T3,baseline,13.067,8.246,4.824,4.233,5.482,0.0,-9.762,-8.811,0.955,0.0,2.375,-9.762,-7.861,1.901,0.0,4.751
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SAP,train,120,T3,baseline,31.243,22.08,9.168,8.209,10.221,0.0,-37.229,-30.338,6.919,0.0,14.319,-37.229,-23.448,13.781,0.0,28.638
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVO,train,5,T3,baseline,5.182,3.241,1.943,0.943,2.988,0.0,-2.417,-1.436,0.98,0.0,2.443,-3.397,-1.436,1.961,0.0,4.886
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVO,train,14,T3,baseline,12.882,8.858,4.029,2.089,6.327,0.0,-9.57,-9.512,0.057,0.0,0.173,-9.628,-9.512,0.115,0.0,0.345
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVO,train,30,T3,baseline,26.721,16.947,9.782,6.48,13.442,0.0,-16.868,-16.868,0.0,0.0,0.0,-16.868,-16.868,0.0,0.0,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVO,train,60,T3,baseline,33.606,21.572,12.04,8.399,15.994,0.0,-5.772,-4.871,0.898,0.0,2.701,-5.772,-3.971,1.801,0.0,5.402
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVO,train,120,T2,baseline,29.166,29.295,-0.142,-2.72,2.502,0.5489,0.0,-28.293,-28.344,-34.914,-20.906,34.874,-21.711,-56.586,-69.829,-41.811
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,AZN,train,5,T2,baseline,2.702,2.903,-0.201,-0.353,-0.057,0.9975,0.795,0.269,-0.527,-0.93,-0.174,-0.798,-1.85,-1.052,-1.86,-0.348
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,AZN,train,14,T2,baseline,3.087,3.905,-0.817,-1.077,-0.546,1.0,0.0,-0.826,-0.826,-1.572,-0.173,-0.437,-2.088,-1.651,-3.144,-0.345
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,AZN,train,30,T1,finetuned,5.363,4.968,0.396,-0.013,0.799,0.0285,0.0,2.366,2.361,0.51,4.431,-8.439,-3.706,4.733,1.021,8.863
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,AZN,train,60,T3,baseline,10.598,8.186,2.404,1.615,3.225,0.0,0.0,3.228,3.263,0.0,8.063,-12.592,-6.137,6.455,0.0,16.126
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,AZN,train,120,T3,baseline,16.923,13.543,3.38,2.685,4.098,0.0,0.0,4.903,4.91,0.0,10.033,-19.053,-9.248,9.806,0.0,20.067
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SHEL,train,5,T3,baseline,1.865,1.9,-0.035,-0.1,0.024,0.8681,1.6,1.241,-0.36,-0.881,0.0,2.537,1.819,-0.718,-1.761,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SHEL,train,14,T3,baseline,2.298,2.184,0.111,-0.041,0.285,0.0844,1.417,1.906,0.488,-0.291,1.326,0.613,1.591,0.978,-0.583,2.652
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SHEL,train,30,T1,finetuned,3.102,2.56,0.544,0.272,0.842,0.0,0.0,2.526,2.531,1.406,3.751,-3.535,1.516,5.051,2.812,7.501
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SHEL,train,60,T1,finetuned,3.046,2.255,0.791,0.497,1.105,0.0,0.0,0.727,0.719,0.054,1.452,-1.196,0.258,1.454,0.109,2.903
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,SHEL,train,120,T1,finetuned,8.468,5.954,2.515,1.91,3.166,0.0,0.0,25.653,25.659,19.742,30.096,-29.259,22.048,51.307,39.485,60.193
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,DEO,train,5,T3,baseline,1.687,1.976,-0.289,-0.782,0.207,0.87,0.888,1.65,0.767,0.0,1.927,0.125,1.65,1.525,0.0,3.853
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,DEO,train,14,T3,baseline,2.192,2.078,0.115,-0.113,0.352,0.1669,1.909,1.909,0.0,0.0,0.0,1.909,1.909,0.0,0.0,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,DEO,train,30,T3,baseline,2.548,2.976,-0.429,-0.658,-0.208,1.0,-0.707,-0.707,0.0,0.0,0.0,-0.707,-0.707,0.0,0.0,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,DEO,train,60,T3,baseline,4.461,6.297,-1.838,-2.488,-1.238,1.0,-6.338,-6.338,0.0,0.0,0.0,-6.338,-6.338,0.0,0.0,0.0
europe,2026-04-10,42,simple,pnl,1,30,15,10000,1,DEO,train,120,T3,baseline,7.614,9.992,-2.378,-3.673,-1.176,1.0,-13.695,-13.795,-0.089,-5.581,5.347,-7.497,-7.696,-0.199,-11.161,10.694
