Loaded 3382_T.npy: 4918 points
Loaded 4519_T.npy: 4918 points
Loaded 6501_T.npy: 4918 points
Loaded 6758_T.npy: 4918 points
Loaded 7203_T.npy: 4918 points
Loaded 7974_T.npy: 4918 points
Loaded 8306_T.npy: 4918 points
Loaded 9432_T.npy: 4918 points
Loaded 9984_T.npy: 4918 points
Loaded IDX_N225.npy: 4887 points
Total sliding windows: 1339
Train: 1005 samples, Val: 334 samples
Loading model from: model
Froze first 17 of 20 transformer layers
Total params: 231,289,280 | Trainable params: 64,081,360 (27.7%)
Using AdamW optimizer (lr=0.0001, weight_decay=0.01)
Gradient accumulation: 16 steps (effective batch = 128)
LR scheduler: cosine with 5-epoch warmup
  Epoch 1 step 10/126 | loss=0.013542 lr=0.00e+00
  Epoch 1 step 20/126 | loss=0.025381 lr=2.86e-06
  Epoch 1 step 30/126 | loss=0.028525 lr=2.86e-06
  Epoch 1 step 40/126 | loss=0.016775 lr=5.71e-06
  Epoch 1 step 50/126 | loss=0.009749 lr=8.57e-06
  Epoch 1 step 60/126 | loss=0.018201 lr=8.57e-06
  Epoch 1 step 70/126 | loss=0.020868 lr=1.14e-05
  Epoch 1 step 80/126 | loss=0.010490 lr=1.43e-05
  Epoch 1 step 90/126 | loss=0.011721 lr=1.43e-05
  Epoch 1 step 100/126 | loss=0.036954 lr=1.71e-05
  Epoch 1 step 110/126 | loss=0.014084 lr=1.71e-05
  Epoch 1 step 120/126 | loss=0.016725 lr=2.00e-05
Epoch 1 train | loss=0.026522
Epoch 1 val   | loss=0.027688
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 2 step 10/126 | loss=0.011374 lr=2.29e-05
  Epoch 2 step 20/126 | loss=0.014976 lr=2.57e-05
  Epoch 2 step 30/126 | loss=0.069000 lr=2.57e-05
  Epoch 2 step 40/126 | loss=0.013116 lr=2.86e-05
  Epoch 2 step 50/126 | loss=0.016230 lr=3.14e-05
  Epoch 2 step 60/126 | loss=0.026014 lr=3.14e-05
  Epoch 2 step 70/126 | loss=0.006312 lr=3.43e-05
