region,date,seed,policy,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse
japan,2026-04-08,42,simple,1,30,15,10000,1,8035.T,eval,5,T3,baseline,5.143,5.374,-0.239,-1.156,0.639,0.697
japan,2026-04-08,42,simple,1,30,15,10000,1,8035.T,eval,14,T1,finetuned,8.153,6.462,1.684,0.587,2.663,0.0006
japan,2026-04-08,42,simple,1,30,15,10000,1,8035.T,eval,30,T1,finetuned,14.269,10.614,3.668,2.445,4.926,0.0
japan,2026-04-08,42,simple,1,30,15,10000,1,8035.T,eval,60,T1,finetuned,18.335,13.699,4.624,2.995,6.296,0.0
japan,2026-04-08,42,simple,1,30,15,10000,1,8035.T,eval,120,T1,finetuned,28.967,21.764,7.2,5.51,8.944,0.0
japan,2026-04-08,42,simple,1,30,15,10000,1,6902.T,eval,5,T3,baseline,2.402,2.503,-0.103,-0.344,0.136,0.795
japan,2026-04-08,42,simple,1,30,15,10000,1,6902.T,eval,14,T1,finetuned,2.668,2.441,0.228,0.038,0.425,0.008
japan,2026-04-08,42,simple,1,30,15,10000,1,6902.T,eval,30,T3,baseline,3.652,3.522,0.127,-0.293,0.589,0.2961
japan,2026-04-08,42,simple,1,30,15,10000,1,6902.T,eval,60,T2,baseline,3.383,5.261,-1.878,-2.4,-1.317,1.0
japan,2026-04-08,42,simple,1,30,15,10000,1,6902.T,eval,120,T2,baseline,4.201,5.179,-0.978,-1.427,-0.465,0.9999
japan,2026-04-08,42,simple,1,30,15,10000,1,4661.T,eval,5,T3,baseline,1.754,1.774,-0.022,-0.128,0.092,0.6573
japan,2026-04-08,42,simple,1,30,15,10000,1,4661.T,eval,14,T3,baseline,1.876,1.847,0.029,-0.193,0.265,0.4148
japan,2026-04-08,42,simple,1,30,15,10000,1,4661.T,eval,30,T3,baseline,4.593,4.918,-0.325,-0.707,0.034,0.9597
japan,2026-04-08,42,simple,1,30,15,10000,1,4661.T,eval,60,T3,baseline,11.105,11.186,-0.082,-0.978,0.767,0.567
japan,2026-04-08,42,simple,1,30,15,10000,1,4661.T,eval,120,T1,finetuned,16.462,13.596,2.862,1.602,4.124,0.0
