region,date,seed,policy,tier_metric,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse,bl_pnl_pct,ft_pnl_pct,pnl_edge_pct,pnl_ci_lo,pnl_ci_hi,bl_lsf_pct,ft_lsf_pct,lsf_edge_pct,lsf_ci_lo,lsf_ci_hi
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,8035.T,eval,5,T1,finetuned,4.7,5.27,-0.569,-1.417,0.267,0.9067,0.316,1.874,1.574,0.006,3.836,-3.635,-0.52,3.115,0.012,7.671
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,8035.T,eval,14,T1,finetuned,7.274,5.987,1.284,0.285,2.219,0.0058,0.0,5.914,5.91,3.168,9.033,-11.101,0.726,11.828,6.335,18.065
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,8035.T,eval,30,T1,finetuned,13.091,9.99,3.106,1.865,4.437,0.0,0.0,11.338,11.355,5.447,17.568,-17.769,4.907,22.676,10.895,35.135
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,8035.T,eval,60,T1,finetuned,17.049,12.93,4.125,2.332,5.952,0.0,0.0,8.681,8.705,3.58,14.411,-26.19,-8.829,17.362,7.161,28.823
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,8035.T,eval,120,T1,finetuned,27.858,20.823,7.05,5.17,8.867,0.0,0.0,41.523,41.57,33.973,47.387,-44.038,39.008,83.047,67.946,94.774
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6902.T,eval,5,T3,baseline,2.385,2.559,-0.173,-0.391,0.037,0.943,0.6,0.248,-0.343,-2.086,1.49,0.636,-0.069,-0.705,-4.172,2.98
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6902.T,eval,14,T3,baseline,2.613,2.547,0.066,-0.153,0.299,0.2847,1.007,2.031,1.025,-0.801,2.608,-0.736,1.313,2.049,-1.601,5.215
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6902.T,eval,30,T2,baseline,3.819,3.787,0.031,-0.332,0.39,0.4308,-0.419,-3.529,-3.102,-5.261,-0.926,4.234,-1.987,-6.222,-10.522,-1.851
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6902.T,eval,60,T3,baseline,3.662,5.126,-1.47,-2.205,-0.7,0.9999,0.035,-0.079,-0.112,-0.798,0.546,1.099,0.871,-0.228,-1.596,1.091
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6902.T,eval,120,T3,baseline,4.583,5.217,-0.631,-1.252,0.038,0.9685,-2.442,-7.491,-5.003,-9.325,0.062,5.815,-4.283,-10.098,-18.65,0.124
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,4661.T,eval,5,T3,baseline,1.72,1.65,0.071,-0.094,0.27,0.2401,0.306,0.368,0.062,-0.254,0.393,0.76,0.884,0.123,-0.508,0.785
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,4661.T,eval,14,T3,baseline,1.72,1.848,-0.127,-0.298,0.051,0.9215,0.0,-0.959,-0.952,-2.76,0.0,1.304,-0.614,-1.918,-5.521,0.0
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,4661.T,eval,30,T3,baseline,5.17,5.95,-0.78,-1.295,-0.33,1.0,0.0,-2.037,-2.032,-5.103,0.0,13.973,9.898,-4.074,-10.206,0.0
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,4661.T,eval,60,T3,baseline,11.118,12.203,-1.08,-2.296,0.05,0.9691,0.0,-2.471,-2.464,-6.146,0.0,18.737,13.796,-4.941,-12.291,0.0
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,4661.T,eval,120,T3,baseline,16.087,14.766,1.322,-0.331,2.8,0.0564,0.0,0.0,0.0,0.0,0.0,24.533,24.533,0.0,0.0,0.0
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,7203.T,train,5,T3,baseline,2.535,2.805,-0.27,-0.534,-0.001,0.9755,-0.241,-0.341,-0.094,-1.434,1.385,-0.892,-1.091,-0.198,-2.867,2.77
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,7203.T,train,14,T1,finetuned,3.725,3.449,0.275,0.077,0.497,0.0016,0.0,1.856,1.861,0.326,3.665,-5.07,-1.358,3.711,0.653,7.33
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,7203.T,train,30,T1,finetuned,6.865,5.395,1.47,0.99,1.914,0.0,0.0,3.787,3.784,1.887,5.79,-7.241,0.333,7.574,3.773,11.58
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,7203.T,train,60,T1,finetuned,10.061,6.745,3.312,2.595,3.999,0.0,0.0,15.758,15.749,12.645,18.42,-17.068,14.449,31.517,25.291,36.841
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,7203.T,train,120,T1,finetuned,16.615,10.917,5.693,4.89,6.492,0.0,0.0,14.566,14.568,13.225,15.883,-14.566,14.566,29.132,26.451,31.766
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6758.T,train,5,T3,baseline,3.33,3.608,-0.278,-0.506,-0.054,0.992,0.869,-0.499,-1.363,-3.605,0.0,0.732,-2.005,-2.736,-7.211,0.0
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6758.T,train,14,T2,baseline,3.41,4.16,-0.754,-1.085,-0.404,1.0,2.032,0.0,-2.04,-3.209,-0.946,3.069,-0.994,-4.063,-6.418,-1.892
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6758.T,train,30,T3,baseline,3.302,5.144,-1.842,-2.453,-1.21,1.0,0.727,0.0,-0.716,-2.16,0.0,-1.834,-3.287,-1.453,-4.32,0.0
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6758.T,train,60,T1,finetuned,4.414,5.865,-1.444,-2.23,-0.595,0.9996,-2.511,0.0,2.523,0.358,5.209,2.281,7.303,5.022,0.715,10.418
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,6758.T,train,120,T3,baseline,12.661,12.169,0.497,-0.245,1.226,0.0938,-6.667,-8.03,-1.366,-6.278,3.596,10.474,7.748,-2.726,-12.556,7.192
japan,2026-04-10,42,simple,pnl,1,30,15,10000,1,9984.T,train,5,T1,finetuned,5.904,5.659,0.244,-0.115,0.595,0.0863,0.0,3.08,3.083,0.305,6.496,-7.14,-0.979,6.161,0.611,12.992
