region,date,seed,policy,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse
us,2026-04-08,42,simple,1,30,15,10000,1,NVDA,eval,5,T3,baseline,2.729,2.863,-0.135,-0.44,0.201,0.7895
us,2026-04-08,42,simple,1,30,15,10000,1,NVDA,eval,14,T3,baseline,3.626,3.628,0.0,-0.297,0.307,0.51
us,2026-04-08,42,simple,1,30,15,10000,1,NVDA,eval,30,T1,finetuned,5.318,5.171,0.147,0.035,0.257,0.0053
us,2026-04-08,42,simple,1,30,15,10000,1,NVDA,eval,60,T1,finetuned,4.639,4.312,0.328,0.145,0.525,0.0001
us,2026-04-08,42,simple,1,30,15,10000,1,NVDA,eval,120,T1,finetuned,4.741,4.142,0.599,0.456,0.75,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,UNH,eval,5,T3,baseline,2.01,1.947,0.062,-0.169,0.295,0.3051
us,2026-04-08,42,simple,1,30,15,10000,1,UNH,eval,14,T1,finetuned,2.488,2.264,0.224,0.071,0.384,0.001
us,2026-04-08,42,simple,1,30,15,10000,1,UNH,eval,30,T1,finetuned,6.848,5.913,0.935,0.713,1.165,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,UNH,eval,60,T1,finetuned,11.188,8.89,2.3,2.031,2.584,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,UNH,eval,120,T1,finetuned,23.019,18.016,4.997,4.566,5.423,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,GS,eval,5,T1,finetuned,1.688,1.442,0.247,0.043,0.443,0.0092
us,2026-04-08,42,simple,1,30,15,10000,1,GS,eval,14,T1,finetuned,2.835,2.212,0.623,0.402,0.837,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,GS,eval,30,T1,finetuned,2.769,2.359,0.411,0.233,0.586,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,GS,eval,60,T1,finetuned,4.39,4.217,0.172,0.053,0.281,0.0031
us,2026-04-08,42,simple,1,30,15,10000,1,GS,eval,120,T3,baseline,6.04,6.047,-0.006,-0.097,0.087,0.5462
us,2026-04-08,42,simple,1,30,15,10000,1,CVX,eval,5,T3,baseline,1.259,1.254,0.006,-0.057,0.067,0.4188
us,2026-04-08,42,simple,1,30,15,10000,1,CVX,eval,14,T1,finetuned,1.814,1.595,0.218,0.064,0.347,0.0047
us,2026-04-08,42,simple,1,30,15,10000,1,CVX,eval,30,T1,finetuned,3.6,2.42,1.179,1.11,1.256,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,CVX,eval,60,T1,finetuned,4.912,2.877,2.035,1.92,2.158,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,CVX,eval,120,T1,finetuned,12.594,10.687,1.906,1.78,2.044,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,KO,eval,5,T3,baseline,0.91,0.927,-0.017,-0.04,0.009,0.9111
us,2026-04-08,42,simple,1,30,15,10000,1,KO,eval,14,T3,baseline,2.354,2.37,-0.016,-0.038,0.007,0.9134
us,2026-04-08,42,simple,1,30,15,10000,1,KO,eval,30,T1,finetuned,4.069,4.007,0.062,0.029,0.095,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,KO,eval,60,T1,finetuned,6.132,5.927,0.206,0.166,0.247,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,KO,eval,120,T1,finetuned,10.899,10.428,0.472,0.405,0.535,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,BA,eval,5,T3,baseline,1.954,1.941,0.013,-0.071,0.1,0.3922
us,2026-04-08,42,simple,1,30,15,10000,1,BA,eval,14,T3,baseline,2.134,2.112,0.022,-0.061,0.114,0.3202
us,2026-04-08,42,simple,1,30,15,10000,1,BA,eval,30,T2,baseline,4.936,5.358,-0.422,-0.518,-0.323,1.0
us,2026-04-08,42,simple,1,30,15,10000,1,BA,eval,60,T2,baseline,5.958,6.868,-0.911,-1.098,-0.716,1.0
us,2026-04-08,42,simple,1,30,15,10000,1,BA,eval,120,T3,baseline,7.157,7.181,-0.024,-0.093,0.046,0.7495
us,2026-04-08,42,simple,1,30,15,10000,1,AAPL,train,5,T3,baseline,1.679,1.687,-0.009,-0.159,0.147,0.5491
us,2026-04-08,42,simple,1,30,15,10000,1,AAPL,train,14,T3,baseline,2.628,2.683,-0.053,-0.16,0.037,0.859
us,2026-04-08,42,simple,1,30,15,10000,1,AAPL,train,30,T1,finetuned,4.837,4.539,0.297,0.185,0.408,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,AAPL,train,60,T1,finetuned,7.463,6.529,0.935,0.768,1.105,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,AAPL,train,120,T1,finetuned,7.06,5.382,1.678,1.446,1.923,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,MSFT,train,5,T3,baseline,1.202,1.306,-0.104,-0.242,0.051,0.9156
us,2026-04-08,42,simple,1,30,15,10000,1,MSFT,train,14,T3,baseline,1.567,1.59,-0.024,-0.223,0.179,0.5955
us,2026-04-08,42,simple,1,30,15,10000,1,MSFT,train,30,T3,baseline,2.163,2.21,-0.047,-0.141,0.046,0.8389
us,2026-04-08,42,simple,1,30,15,10000,1,MSFT,train,60,T2,baseline,4.14,4.358,-0.218,-0.289,-0.15,1.0
us,2026-04-08,42,simple,1,30,15,10000,1,MSFT,train,120,T2,baseline,13.278,13.874,-0.596,-0.706,-0.497,1.0
us,2026-04-08,42,simple,1,30,15,10000,1,AMZN,train,5,T3,baseline,1.73,1.662,0.067,-0.037,0.158,0.0924
us,2026-04-08,42,simple,1,30,15,10000,1,AMZN,train,14,T1,finetuned,2.342,2.201,0.14,0.063,0.208,0.0004
us,2026-04-08,42,simple,1,30,15,10000,1,AMZN,train,30,T1,finetuned,4.028,3.947,0.08,0.022,0.134,0.0036
us,2026-04-08,42,simple,1,30,15,10000,1,AMZN,train,60,T3,baseline,3.053,3.071,-0.018,-0.086,0.037,0.6993
us,2026-04-08,42,simple,1,30,15,10000,1,AMZN,train,120,T1,finetuned,5.645,5.524,0.122,0.047,0.198,0.0006
us,2026-04-08,42,simple,1,30,15,10000,1,GOOGL,train,5,T3,baseline,1.796,1.926,-0.132,-0.306,0.049,0.9278
us,2026-04-08,42,simple,1,30,15,10000,1,GOOGL,train,14,T2,baseline,3.291,3.604,-0.313,-0.435,-0.198,1.0
us,2026-04-08,42,simple,1,30,15,10000,1,GOOGL,train,30,T1,finetuned,8.441,8.279,0.161,0.038,0.284,0.0051
us,2026-04-08,42,simple,1,30,15,10000,1,GOOGL,train,60,T1,finetuned,15.225,14.853,0.373,0.198,0.541,0.0
us,2026-04-08,42,simple,1,30,15,10000,1,GOOGL,train,120,T3,baseline,18.41,18.574,-0.165,-0.536,0.198,0.8124
us,2026-04-08,42,simple,1,30,15,10000,1,META,train,5,T1,finetuned,1.762,1.568,0.195,0.042,0.345,0.0058
us,2026-04-08,42,simple,1,30,15,10000,1,META,train,14,T1,finetuned,2.579,2.396,0.184,0.002,0.374,0.0237
us,2026-04-08,42,simple,1,30,15,10000,1,META,train,30,T3,baseline,8.863,8.858,0.005,-0.083,0.102,0.4667
