region,date,seed,policy,tier_metric,honest_split,n_windows,n_select,n_boot,window_step,ticker,type,horizon,tier,use_model,bl_mape,ft_mape,improvement_pp,ci_lo,ci_hi,p_worse,bl_pnl_pct,ft_pnl_pct,pnl_edge_pct,pnl_ci_lo,pnl_ci_hi,bl_lsf_pct,ft_lsf_pct,lsf_edge_pct,lsf_ci_lo,lsf_ci_hi
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVDA,eval,5,T3,baseline,2.331,2.454,-0.121,-0.425,0.214,0.7728,-0.7,0.0,0.7,0.0,1.772,-0.963,0.437,1.399,0.0,3.544
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVDA,eval,14,T3,baseline,3.804,3.77,0.034,-0.253,0.336,0.417,0.0,0.0,0.0,0.0,0.0,-3.914,-3.914,0.0,0.0,0.0
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVDA,eval,30,T3,baseline,5.123,4.887,0.237,0.085,0.409,0.0004,0.0,0.0,0.0,0.0,0.0,-0.29,-0.29,0.0,0.0,0.0
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVDA,eval,60,T3,baseline,4.301,3.941,0.358,0.156,0.584,0.0001,0.0,0.0,0.0,0.0,0.0,-1.212,-1.212,0.0,0.0,0.0
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,NVDA,eval,120,T1,finetuned,4.207,3.627,0.581,0.45,0.718,0.0,-3.184,-0.361,2.818,0.853,5.02,-1.699,3.946,5.645,1.706,10.039
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,UNH,eval,5,T3,baseline,1.924,1.823,0.101,-0.11,0.32,0.1833,0.784,1.398,0.614,0.0,1.462,0.169,1.398,1.229,0.0,2.924
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,UNH,eval,14,T3,baseline,2.736,2.515,0.221,0.072,0.378,0.0009,-0.924,-0.924,0.0,0.0,0.0,-0.924,-0.924,0.0,0.0,0.0
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,UNH,eval,30,T3,baseline,8.011,6.905,1.107,0.919,1.306,0.0,-9.307,-9.307,0.0,0.0,0.0,-9.307,-9.307,0.0,0.0,0.0
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,UNH,eval,60,T3,baseline,11.922,9.541,2.382,2.124,2.65,0.0,-5.207,-5.207,0.0,0.0,0.0,-5.207,-5.207,0.0,0.0,0.0
us,2026-04-10,42,simple,pnl,1,30,15,10000,1,UNH,eval,120,T3,baseline,24.007,18.98,5.029,4.598,5.455,0.0,-20.207,-20.207,0.0,0.0,0.0,-20.207,-20.207,0.0,0.0,0.0
