date,region,horizon,cell,strategy,ticker,model,last_price,predicted_return,dead_zone,signal,position_usd,weight_pct,borrow_cost
2026-04-11,europe,120,EUROPE 120d,LSF,UL,dry-run,100.0,1.524,1.0,LONG,27777.78,25.0,0.0
2026-04-11,europe,120,EUROPE 120d,LSF,EADSF,dry-run,100.0,-5.2,1.0,SHORT,-27777.78,25.0,136.99
2026-04-11,europe,120,EUROPE 120d,LSF,VWAGY,dry-run,100.0,3.752,1.0,LONG,27777.78,25.0,0.0
2026-04-11,europe,120,EUROPE 120d,LSF,ASML,dry-run,100.0,4.703,1.0,LONG,27777.78,25.0,0.0
2026-04-11,europe,120,EUROPE 120d,LSF,SAP,dry-run,100.0,-9.755,1.0,SHORT,-27777.78,25.0,136.99
2026-04-11,europe,120,EUROPE 120d,LSF,NVO,dry-run,100.0,-6.511,1.0,SHORT,-27777.78,25.0,136.99
2026-04-11,europe,120,EUROPE 120d,LSF,AZN,dry-run,100.0,0.639,1.0,FLAT,0.0,25.0,0.0
2026-04-11,europe,120,EUROPE 120d,LSF,SHEL,dry-run,100.0,-1.581,1.0,SHORT,-27777.78,25.0,136.99
2026-04-11,europe,120,EUROPE 120d,LSF,DEO,dry-run,100.0,-0.084,1.0,FLAT,0.0,25.0,0.0
2026-04-11,japan,120,JAPAN 120d,LSF,8035.T,dry-run,100.0,1.524,0.0,LONG,22222.22,20.0,0.0
2026-04-11,japan,120,JAPAN 120d,LSF,6902.T,dry-run,100.0,-5.2,0.0,SHORT,-22222.22,20.0,109.59
2026-04-11,japan,120,JAPAN 120d,LSF,4661.T,dry-run,100.0,3.752,0.0,LONG,22222.22,20.0,0.0
2026-04-11,japan,120,JAPAN 120d,LSF,7203.T,dry-run,100.0,4.703,0.0,LONG,22222.22,20.0,0.0
2026-04-11,japan,120,JAPAN 120d,LSF,6758.T,dry-run,100.0,-9.755,0.0,SHORT,-22222.22,20.0,109.59
2026-04-11,japan,120,JAPAN 120d,LSF,9984.T,dry-run,100.0,-6.511,0.0,SHORT,-22222.22,20.0,109.59
2026-04-11,japan,120,JAPAN 120d,LSF,8306.T,dry-run,100.0,0.639,0.0,LONG,22222.22,20.0,0.0
2026-04-11,japan,120,JAPAN 120d,LSF,4502.T,dry-run,100.0,-1.581,0.0,SHORT,-22222.22,20.0,109.59
2026-04-11,japan,120,JAPAN 120d,LSF,7974.T,dry-run,100.0,-0.084,0.0,SHORT,-22222.22,20.0,109.59
2026-04-11,europe,60,EUROPE 60d,LSF,UL,dry-run,100.0,1.524,2.0,FLAT,0.0,15.0,0.0
2026-04-11,europe,60,EUROPE 60d,LSF,EADSF,dry-run,100.0,-5.2,2.0,SHORT,-16666.67,15.0,41.1
2026-04-11,europe,60,EUROPE 60d,LSF,VWAGY,dry-run,100.0,3.752,2.0,LONG,16666.67,15.0,0.0
2026-04-11,europe,60,EUROPE 60d,LSF,ASML,dry-run,100.0,4.703,2.0,LONG,16666.67,15.0,0.0
2026-04-11,europe,60,EUROPE 60d,LSF,SAP,dry-run,100.0,-9.755,2.0,SHORT,-16666.67,15.0,41.1
2026-04-11,europe,60,EUROPE 60d,LSF,NVO,dry-run,100.0,-6.511,2.0,SHORT,-16666.67,15.0,41.1
2026-04-11,europe,60,EUROPE 60d,LSF,AZN,dry-run,100.0,0.639,2.0,FLAT,0.0,15.0,0.0
2026-04-11,europe,60,EUROPE 60d,LSF,SHEL,dry-run,100.0,-1.581,2.0,FLAT,0.0,15.0,0.0
2026-04-11,europe,60,EUROPE 60d,LSF,DEO,dry-run,100.0,-0.084,2.0,FLAT,0.0,15.0,0.0
2026-04-11,china,120,CHINA 120d,LF,0388.HK,dry-run,100.0,1.524,0.5,LONG,11111.11,10.0,0.0
2026-04-11,china,120,CHINA 120d,LF,2382.HK,dry-run,100.0,-5.2,0.5,FLAT,0.0,10.0,0.0
2026-04-11,china,120,CHINA 120d,LF,1177.HK,dry-run,100.0,3.752,0.5,LONG,11111.11,10.0,0.0
